1000/09,13.5,1/5/2021
1016/4,12.7,1/20/2021
1016/10,16.5,1/5/2021
1040/12,14.7,1/20/2021
1049/10,18.2,1/27/2021
1051/12,10.3,1/27/2021
1053/12,11.7,1/6/2021
1053/12,13.3,1/5/2021
1055/02,8,1/12/2021
1055/12,7.9,1/25/2021
1058/06,15.3,1/21/2021
1061/9,14,1/17/2021
1064/05,17,1/6/2021
1084/10,13.2,1/12/2021
1085/09,10.5,1/7/2021
1085/09,10.6,1/13/2021
1092/10,13.7,1/12/2021
1095/07,15.4,1/29/2021
1101/07,12.7,1/5/2021
1101/07,13.2,1/25/2021
1106/07,13.3,1/29/2021
1111/05,11.5,1/10/2021
1117/07,15.2,1/11/2021
1142/08,7.3,1/1/2021
1142/08,8.2,1/5/2021
1177/07,15,1/5/2021
1205/02,12,1/25/2021
1247/08,11.6,1/6/2021
1247/09,17.2,1/12/2021
1254/05,15.1,1/5/2021
1283/07,9.4,1/6/2021
1283/07,9.6,1/6/2021
1286/02,16.4,1/25/2021
1291/09,10.4,1/15/2021
1310/09,13.3,1/17/2021
1325/08,11.5,1/10/2021
1332/03,15,1/12/2021
1334/04,9.7,1/4/2021
1338/02,11,1/19/2021
1342/04,12.3,1/4/2021
1346/04,13.2,1/5/2021
1386/01,13.4,1/17/2021
1387/03,13.5,1/26/2021
1394/03,12.2,1/26/2021
1399/08,11.4,1/13/2021
1416/08,7.3,1/5/2021
1421/09,16,2/1/2021
1458/09,12.9,1/17/2021
1472/02,11.6,1/3/2021
1513/9,14.7,1/4/2021
1525/03,13.6,1/10/2021
1532/09,14.7,1/14/2021
1536/09,12.4,1/10/2021
1619/03,13.3,1/19/2021
1636/03,13.8,1/11/2021
1660/04,9,1/26/2021
1678/01,14.7,1/27/2021
1716/01,9.1,1/4/2021
2021/01,10.9,1/6/2021
1/20,6.5,1/7/2021
01/21,14.4,1/3/2021
02/21,11.9,1/4/2021
03/21,12,1/4/2021
4/2021,15.1,1/5/2021
04/18,10,1/24/2021
04/20,10.8,1/4/2021
04/21,11.7,1/19/2021
06/21,13.5,1/12/2021
07/05,14.4,1/17/2021
07/20,9.3,1/22/2021
07/20,9.4,1/18/2021
07/20,9.6,1/4/2021
07/20,10.2,1/29/2021
9/21,7,1/11/2021
2021/11,4.8,1/6/2021
11/20,10.2,1/12/2021
11/21,9.1,1/6/2021
12/14,10.8,1/19/2021
12/21,11.2,1/6/2021
100/19,13.5,1/5/2021
100/20,9.6,1/8/2021
100/21,13.6,1/19/2021
1000/20,4.6,1/6/2021
1001/18,11,1/6/2021
1004/13,11.5,1/6/2021
1004/15,12.4,1/6/2021
1004/17,12.1,1/10/2021
1005/18,14.4,1/14/2021
1007/13,12.1,1/5/2021
1008/15,8.6,1/5/2021
1008/2020,12,1/7/2021
101/18,12.1,1/15/2021
101/20,6.9,1/6/2021
1010/16,16.7,1/24/2021
1011/18,11.8,1/13/2021
1011/20,7.7,1/21/2021
1012/19,11.5,1/6/2021
1014/17,14.6,1/19/2021
1014/19,11.6,1/12/2021
1014/20,10.5,1/6/2021
1015/15,12.5,1/10/2021
1015/17,8.1,1/1/2021
1015/18,15,1/18/2021
1015/19,13.8,1/6/2021
1018/16,9.6,1/11/2021
102/16,11.6,1/21/2021
1020/20,12.9,1/13/2021
1021/15,9.7,1/13/2021
1021/20,13.7,1/20/2021
1024/16,10.7,1/4/2021
1028/19,11,1/4/2021
1028/20,10.4,1/20/2021
1029/19,12,1/27/2021
1029/20,7.9,1/7/2021
103/16,9.7,1/19/2021
1031/18,12.3,1/5/2021
1032/20,8.8,1/15/2021
1036/14,13.7,1/5/2021
1037/20,9.8,1/4/2021
1038/14,13.3,1/26/2021
1038/17,11.6,1/4/2021
1038/19,6.7,1/4/2021
1038/20,11.3,1/15/2021
1038/20,11.7,1/8/2021
1038/20,11.7,1/27/2021
1038/20,12.4,1/18/2021
1038/2020,12.4,1/4/2021
1039/14,15.1,1/17/2021
104/03,9.7,1/7/2021
104/17,10.5,1/27/2021
104/20,10.1,1/5/2021
1041/16,15.7,1/11/2021
1041/20,10.5,1/13/2021
10448/21,10.5,1/24/2021
1046/15,10.7,1/4/2021
1047/20,8.1,1/31/2021
1047/20,9.5,1/3/2021
1049/18,11.1,1/28/2021
105/17,12.1,1/31/2021
105/17,12.5,1/3/2021
105/20,11.1,1/6/2021
105/20,11.3,1/12/2021
1050/15,10.3,1/4/2021
1051/13,11.1,1/21/2021
1051/15,13.8,1/3/2021
1052/14,7.3,1/11/2021
1053/17,15.7,1/7/2021
1054/14,15.7,1/17/2021
1054/18,8.5,1/4/2021
1054/19,7.4,1/6/2021
1055/19,7.1,1/12/2021
1056/17,6.4,1/5/2021
1056/17,6.8,1/7/2021
1056/18,11.6,1/26/2021
1057/18,8.9,1/23/2021
1057/19,11.1,1/5/2021
1057/20,6.6,1/30/2021
1057/20\,7.3,1/31/2021
106/16,15.7,1/29/2021
106/2020,11.3,1/4/2021
1061/14,10.2,1/31/2021
1063/18,11.1,1/6/2021
1064/18,12.8,1/4/2021
1064/19,9,1/6/2021
1064/19,9.5,1/1/2021
1065/17,11.5,1/13/2021
1066/19,8.7,1/21/2021
1068/19,7.9,1/6/2021
1068/20,8.4,1/7/2021
1069/20,14.1,1/4/2021
1069/20,14.3,1/8/2021
1069/20,14.4,1/15/2021
1069/20,14.5,1/25/2021
1069/20,14.6,1/21/2021
1069/20,14.9,1/18/2021
1071/20,11.3,1/28/2021
1072/17,10.8,1/11/2021
1074/19,11.4,1/6/2021
1074/20,10.5,1/6/2021
1075/14,16.1,1/4/2021
1075/20,12.7,1/5/2021
1077/18,7,1/5/2021
1077/19,12.5,1/26/2021
1077/20,13.1,1/6/2021
1078/18,10.5,1/4/2021
108/17,11.3,1/4/2021
1083/18,7.3,1/6/2021
1085/20,10.1,1/26/2021
1085/20,11.5,1/7/2021
1087/17,7.8,1/7/2021
1087/19,13.6,1/13/2021
1087/19,13.7,1/25/2021
1087/19,14.4,1/5/2021
1089/18,7.8,1/30/2021
1089/19,6.8,1/8/2021
1089/20,10.3,1/12/2021
1090/20,7.3,1/6/2021
1090/20,8.4,1/11/2021
1091/17,10.9,1/4/2021
1091/19,16.9,1/5/2021
1092/18,11.9,1/11/2021
1093/17,11.7,1/6/2021
1093/20,8.8,1/13/2021
1097/20,9.6,1/4/2021
1097/20,9.8,1/1/2021
1097/20,10.4,1/11/2021
1097/20,10.5,1/8/2021
1097/20,10.6,1/15/2021
1097/20,11,1/22/2021
1097/20,11.1,1/18/2021
1097/20,11.2,1/29/2021
1097/20,11.3,1/25/2021
1097/20,11.8,2/1/2021
1098/17,8.5,1/4/2021
1099/17,6.8,1/2/2021
1099/17,8.3,1/7/2021
1099/18,9,1/7/2021
1099/20,13.9,1/14/2021
110/18,7.1,1/6/2021
110/18,10,1/5/2021
